customer_id,first_name,last_name,gender,date_of_birth,email,phone,city,state,region,country,pincode,registration_date,customer_type,customer_segment,acquisition_channel,acquisition_campaign_id,customer_status,created_at,updated_at
CUST000001, Ramnath,Kamble,Male,23-03-1988,ramnath_kamble284043@gmail.com,6959265998,Indore,Madhya Pradesh,Central,IN,452001,16-07-2023,VIP,Business,YouTube,CAMP007,Active,16-07-2023 19:51,28-07-2023 12:33
CUST000002, Layla,Sequeira,Female,17-01-2002,laylasequeira5092513@hotmail.com,8955651660,Hyderabad,Telangana,South,IN,500003,28-11-2024,Premium,Premium,YouTube,CAMP032,Active,28-11-2024 19:04,10-12-2024 05:44
CUST000003, Adrian,De Silva,Male,19-08-1983,adriandesilva9981374@icloud.com,6607784829,Rajkot,Gujarat,West,IN,360003,17-08-2024,Corporate,Business,Meta Ads,CAMP026,Active,17-08-2024 11:11,17-10-2024 06:48
CUST000004, Ubaid,Faruqi,Male,24-11-1989,ubaidfaruqi5916023@yahoo.com,9912159555,Raipur,Chhattisgarh,Central,IN,492004,26-12-2023,Corporate,Business,Google Ads,CAMP018,Active,26-12-2023 16:50,27-05-2024 14:29
CUST000005, Tanuja,Dongre,Female,20-02-1983,tanuja9489804_dongre@gmail.com,8383443183,Sonipat,Haryana,North,IN,131003,14-02-2024,Corporate,Priority,Google Ads,CAMP020,Active,14-02-2024 05:55,19-04-2024 03:57
CUST000006, Kevin,Minz,Male,16-06-1981,kevin.minz9121911@yahoo.com,7464113665,Visakhapatnam,Andhra Pradesh,South,IN,530001,16-03-2024,Regular,Private,Meta Ads,CAMP022,Active,16-03-2024 16:38,26-06-2024 09:54
CUST000007, Maisha,Hussain,Female,22-03-2001,maisha-hussain2325790@gmail.com,8963921923,Mandi,Himachal Pradesh,North,IN,175004,29-10-2023,Regular,Retail,Google Ads,CAMP014,Active,29-10-2023 07:31,14-01-2024 23:02
CUST000008, Samriddhi,Kandari,Female,04-07-1978,samriddhi.kandari4178745@gmail.com,9552968057,Gorakhpur,Uttar Pradesh,North,IN,273004,14-02-2025,Premium,Premium,NULL,NULL,Inactive,14-02-2025 15:50,13-04-2025 18:49
CUST000009, William,Kuruvilla,Male,15-06-1978,williamkuruvilla7234183@hotmail.com,7166024629,Bardhaman,West Bengal,East,IN,713102,18-11-2025,Regular,Business,NULL,NULL,Active,18-11-2025 02:37,25-12-2025 14:51
CUST000010, Kartikeya,More,Male,22-08-1998,kartikeya.more6815730@gmail.com,8118960430,Alwar,Rajasthan,North,IN,301004,15-02-2023,Regular,Retail,NULL,NULL,Inactive,15-02-2023 09:49,09-01-2025 20:18
