order_id,customer_id,order_date,order_status,sales_channel,warehouse_id,shipping_address,billing_address,coupon_id,campaign_id,subtotal,discount_amount,shipping_fee,tax_amount,total_amount,payment_status,fulfillment_status,expected_delivery_date,cancellation_date,cancellation_reason,created_at,updated_at,confirmed_at,packed_at
ORD116060,CUST003232,05-08-2025,Cancelled,Marketplace,WH002,"House 376, Ring Road, Vijay Vihar, Prayagraj, Uttar Pradesh - 211006, India","House 376, Ring Road, Vijay Vihar, Prayagraj, Uttar Pradesh - 211006, India",NULL,NULL,3997,0,0,719.46,4716.46,Paid,Cancelled,08-08-2025,06-08-2025,Customer requested,05-08-2025 22:14,06-08-2025 22:45,05-08-2025 22:49,06-08-2025 22:45
ORD090178,CUST018078,29-01-2023,Cancelled,Mobile App,WH004,"House 331, Ring Road, Vijay Vihar, Khammam, Telangana - 507001, India","House 331, Ring Road, Vijay Vihar, Khammam, Telangana - 507001, India",NULL,NULL,4799,0,0,863.82,5662.82,Paid,Cancelled,01-02-2023,29-01-2023,Changed mind,29-01-2023 09:34,29-01-2023 17:34,29-01-2023 09:35,29-01-2023 17:34
ORD051371,CUST010273,17-07-2025,Cancelled,Marketplace,WH027,"House 63, Ring Road, Vijay Vihar, Pune, Maharashtra - 411001, India","House 63, Ring Road, Vijay Vihar, Pune, Maharashtra - 411001, India",NULL,NULL,17195,0,0,3095.1,20290.1,NULL,Cancelled,22-07-2025,17-07-2025,Changed mind,17-07-2025 16:55,18-07-2025 00:16,17-07-2025 16:56,18-07-2025 00:16
ORD047417,CUST009470,28-01-2023,Cancelled,Marketplace,WH021,"House 837, Ring Road, Vijay Vihar, Noida, Uttar Pradesh - 201307, India","House 837, Ring Road, Vijay Vihar, Noida, Uttar Pradesh - 201307, India",NULL,NULL,44389,0,0,7990.02,52379.02,Paid,Cancelled,31-01-2023,28-01-2023,Payment issue,28-01-2023 11:50,28-01-2023 11:50,NULL,NULL
ORD004815,CUST000987,13-07-2023,Cancelled,Website,WH030,"House 902, Ring Road, Vijay Vihar, Gwalior, Madhya Pradesh - 474002, India","House 902, Ring Road, Vijay Vihar, Gwalior, Madhya Pradesh - 474002, India",NULL,CAMP008,10999,0,0,1979.82,12978.82,Paid,Cancelled,15-07-2023,13-07-2023,Customer requested,13-07-2023 22:23,14-07-2023 00:16,13-07-2023 22:24,14-07-2023 00:16
ORD100718,CUST000149,11-06-2023,Cancelled,Mobile App,WH007,"House 394, Ring Road, Vijay Vihar, Nizamabad, Telangana - 503001, India","Flat 801, Horizon Residency, Vijay Vihar, Nizamabad, Telangana - 503001, India",NULL,NULL,3997,0,0,719.46,4716.46,Paid,Cancelled,13-06-2023,11-06-2023,Customer requested,11-06-2023 17:21,11-06-2023 20:18,11-06-2023 17:22,11-06-2023 20:18
ORD014173,CUST002877,11-10-2025,Cancelled,Website,WH021,"House 699, Ring Road, Vijay Vihar, Gurugram, Haryana - 122005, India","House 699, Ring Road, Vijay Vihar, Gurugram, Haryana - 122005, India",NULL,NULL,109999,0,0,19799.82,129798.82,NULL,Cancelled,13-10-2025,11-10-2025,Payment issue,11-10-2025 16:49,11-10-2025 18:05,11-10-2025 16:50,11-10-2025 18:05
ORD052502,CUST010499,04-09-2023,Cancelled,Mobile App,WH027,"House 450, Ring Road, Vijay Vihar, Nashik, Maharashtra - 422001, India","House 450, Ring Road, Vijay Vihar, Nashik, Maharashtra - 422001, India",NULL,NULL,1499,0,0,269.82,1768.82,Paid,Cancelled,09-09-2023,04-09-2023,Out of stock,04-09-2023 23:44,05-09-2023 01:06,04-09-2023 23:45,05-09-2023 01:06
ORD110896,CUST002197,11-11-2025,Cancelled,Website,WH007,"House 65, Ring Road, Vijay Vihar, Vijayawada, Andhra Pradesh - 520002, India","House 65, Ring Road, Vijay Vihar, Vijayawada, Andhra Pradesh - 520002, India",NULL,NULL,1699,0,0,305.82,2004.82,Paid,Cancelled,13-11-2025,11-11-2025,Customer requested,11-11-2025 22:06,12-11-2025 04:57,11-11-2025 22:07,12-11-2025 04:57
ORD076958,CUST015387,21-06-2023,Cancelled,Mobile App,WH010,"House 63, Ring Road, Vijay Vihar, Mandi, Himachal Pradesh - 175002, India","House 63, Ring Road, Vijay Vihar, Mandi, Himachal Pradesh - 175002, India",NULL,NULL,4299,0,0,773.82,5072.82,Paid,Cancelled,23-06-2023,21-06-2023,Changed mind,21-06-2023 21:01,22-06-2023 01:01,21-06-2023 21:02,22-06-2023 01:01
